timestamp,x,y,z,color,mesh
0,12,133,154,#b2bb50,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,-242,-192,-384,#c3702b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-385,-155,-83,#82fa6a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,-90,151,-228,#2eaa9f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,51,-361,-29,#ee48b1,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,5,-155,77,#9ca4f9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,-387,244,238,#6bfe7c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,191,-222,-77,#98b59c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,268,276,-346,#f2ae70,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,380,-111,-317,#5bdbda,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,186,242,-317,#82f28a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,106,-85,-392,#16a7a1,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,348,-111,155,#a352db,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-386,-99,184,#62e6d7,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-228,17,275,#da719b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-62,-147,-239,#246d4e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,-14,-83,356,#c1f634,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-259,34,300,#622486,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,72,154,-31,#4d9b44,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,21,269,170,#274baa,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-273,-327,364,#4183f4,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
