timestamp,x,y,z,color,mesh
0,-175,-362,241,#ea2d2b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,176,29,-375,#ec7f1f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,15,293,-75,#595778,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,294,-115,-142,#f1eba1,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,30,13,380,#8557ee,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,369,62,136,#0ee020,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,-176,385,-134,#7ebd82,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,315,-86,-59,#1e47f3,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-359,253,351,#32b2ce,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,190,83,84,#8efe7a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,211,375,328,#710d63,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-19,360,-350,#5a164c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,-111,-190,-265,#a9aae9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,244,-114,-224,#d07aa5,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,235,229,38,#5f86ae,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-167,305,-185,#cd3fe8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,291,-189,-216,#089a27,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,182,-220,321,#77cd4d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,50,-166,198,#f1521a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,204,-334,259,#46d467,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,342,87,387,#772e49,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
