timestamp,x,y,z,color,mesh
0,-180,183,14,#33c241,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,89,-344,6,#75b476,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,230,242,-312,#33097b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,146,97,-391,#de6182,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,300,215,51,#5cebd8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,-399,19,201,#7824f7,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,85,-83,-251,#593a80,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,143,400,369,#4daf36,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-235,103,-241,#22585d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,-157,-272,-89,#4577e9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-48,-145,-40,#e6182a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,369,-206,-353,#9e12eb,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,186,234,115,#935c47,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,260,-50,126,#13f368,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,319,-226,-319,#f9cd98,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-236,-282,-232,#160971,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,352,154,-154,#b64d8e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-219,-184,-363,#9be6db,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-396,173,-384,#eb90bc,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-273,65,-258,#56115e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-150,37,103,#ef377e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
