timestamp,x,y,z,color,mesh
0,116,190,149,#d402ba,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,301,322,-2,#ae2ee1,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,338,17,-27,#0f3be1,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,364,-135,-44,#0f1707,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-314,-272,194,#1ca460,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,375,-288,284,#94e416,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,34,-338,378,#489d03,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,-116,-387,16,#4aa99d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,352,240,258,#f8a13e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,225,-311,66,#f305d8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-355,253,90,#45db77,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-252,181,355,#9da1d0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,389,-244,154,#15f67c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-283,246,40,#074aef,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-266,-32,301,#5d5763,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,310,-205,341,#5a6361,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,310,391,72,#050e76,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,109,225,-397,#4b080e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-103,-186,-226,#3f5678,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,102,-349,173,#33d85d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-193,-196,128,#206851,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
