timestamp,x,y,z,color,mesh
0,-242,-265,-169,#5991b6,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,187,336,-261,#426544,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-371,-201,361,#ab17f2,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,335,233,-219,#035891,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,201,-57,384,#165400,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,294,394,-293,#f63371,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,240,236,-196,#4af540,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,169,-141,234,#dd2a83,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,73,-279,-319,#c093d8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,258,-62,130,#1bae9c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,236,210,64,#532736,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,330,-80,258,#c0c9c9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,-271,-166,-158,#ccce8d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-8,-38,-82,#3ade11,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,200,-217,342,#35208f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,24,140,390,#27ccee,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,55,158,-301,#fede3e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-133,337,49,#632b43,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-321,11,-19,#1af2a6,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-192,-68,-208,#5a1438,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,308,-260,140,#91d5ab,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
