timestamp,x,y,z,color,mesh
0,-118,384,-332,#ed7d70,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,166,-310,400,#e27870,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-327,361,-161,#12bad0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,280,-390,-268,#b3cbcf,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-259,332,-93,#c48572,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,-25,120,370,#e99bef,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,393,-160,-168,#7b4a11,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,19,115,20,#db8dd8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-258,163,51,#a5f640,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,-131,231,-19,#82e7d8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-374,254,-137,#01009b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,38,-16,-186,#1471fd,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,80,-354,-10,#623f61,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-261,138,307,#27c92d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-153,129,-192,#a8aa94,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,253,167,222,#456936,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,347,-222,-103,#653871,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,370,118,307,#55a006,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,146,146,-86,#c57a4a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,63,-43,3,#5925a9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-46,-341,-313,#f80e9b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
