timestamp,x,y,z,color,mesh
0,162,-37,169,#824480,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,336,-276,227,#a38f1b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-144,326,-117,#89ef01,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,146,-81,41,#f93460,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-200,158,262,#124e59,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,-17,13,120,#d59402,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,-10,62,-228,#87b1c0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,-370,-216,190,#719c46,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-76,131,177,#41d2ed,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,-334,-286,247,#389ee2,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,385,60,388,#b0a0db,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-296,221,346,#53d10c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,334,-51,174,#865d1f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-115,-216,-347,#3bf5eb,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-314,90,337,#308ba9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-11,-355,-44,#c7a20a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,200,137,-87,#0ddb53,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,300,-107,-103,#a1cae8,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-246,248,117,#75ab33,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,153,-190,31,#0fcd01,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,54,-392,16,#fc01ee,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
