timestamp,x,y,z,color,mesh
0,-188,-108,-109,#f58165,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,47,137,-101,#e2dd4e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,296,-326,-243,#3c2252,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,73,347,31,#0a38d7,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-125,-85,289,#f3d480,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,124,-393,74,#ed4222,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,216,372,115,#cba38b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,68,-3,-303,#566f59,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-195,81,170,#c6fe49,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,18,166,150,#d353e6,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-361,-84,295,#e232d0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-238,-16,273,#14be6d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,144,201,48,#b7668e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,260,299,182,#39829d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,211,-131,390,#d979cf,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,222,-293,255,#db8099,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,-374,269,139,#b601bb,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,11,-144,-302,#4042a6,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-36,-346,-192,#4ed26d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-293,-29,239,#6da67f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-76,-189,-161,#c4c93c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
