timestamp,x,y,z,color,mesh
0,-134,-135,217,#bfe948,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,-294,-117,-275,#0dca12,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,166,-376,-108,#0abd56,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,-100,185,-140,#094901,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-341,-244,-33,#be9b9a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,349,-63,-87,#ea96d7,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,112,57,-169,#f24763,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,-191,-352,155,#3d3b54,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-307,164,-231,#557252,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,157,-246,-201,#61ae9d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-303,-264,-208,#bbb137,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-84,-308,-110,#cc8bd0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,196,198,-17,#1540a3,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-314,-281,-94,#302a3e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-98,238,1,#a4906d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-329,287,34,#20b506,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,10,340,-280,#5e692e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-388,304,-331,#00ef76,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,397,335,-79,#e2ea71,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-179,330,246,#ac7e67,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-228,-347,138,#0417fc,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
