timestamp,x,y,z,color,mesh
0,378,252,46,#e1a93e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,355,263,-315,#abcadd,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-123,-195,-178,#c770dc,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,103,-159,30,#e8e42b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-373,-53,-224,#fe428b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,75,-103,-23,#2a40f4,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,-257,-312,340,#108420,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,-180,-216,-187,#216d7b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-62,-40,-384,#f47650,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,308,-61,-66,#1df636,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,-81,263,-228,#7474dc,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-215,47,324,#41db1d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,252,-37,185,#72192a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,333,-37,278,#d7fff3,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,-149,-378,6,#e49eba,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-334,180,354,#71bad4,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,142,-161,-124,#faf27c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-389,-214,161,#e9f8a0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,322,267,-91,#93d004,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,364,42,-100,#fd043b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,259,-224,248,#78270c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
