timestamp,x,y,z,color,mesh
0,-72,10,-252,#677418,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,-180,193,42,#be633a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,46,-205,256,#79d544,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,-225,263,175,#63572a,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,-330,108,-224,#f227df,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,9,-150,-51,#88cad3,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,364,217,98,#a66d85,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,67,251,71,#b3629e,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,257,152,-157,#b083e9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,341,-65,-223,#f64f4d,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,83,-154,-304,#168e60,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,276,-357,-11,#e6c488,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,-398,319,-200,#c9fac6,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,-59,-150,136,#7d9023,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,238,-346,-170,#812368,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-279,-22,-57,#fbcb43,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,181,363,4,#eaf237,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,177,146,231,#125a48,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-147,277,329,#c56bfc,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-349,-135,-100,#49390b,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,-70,-137,-333,#132a53,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
