timestamp,x,y,z,color,mesh
0,-108,234,-76,#e5e6fa,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
1,287,142,225,#e2e167,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
2,-24,272,384,#e46990,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
3,-247,-71,-32,#2e9e38,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
4,107,320,-399,#2559e9,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
5,-263,-256,76,#1a97f5,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
6,215,-122,-242,#de0063,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
7,360,70,181,#58d8e7,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
8,-153,-368,-99,#9e0094,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
9,-234,400,320,#b52f35,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
10,68,-378,338,#c7e9b0,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
11,-177,-201,368,#f9c9a2,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
12,-182,-149,11,#68788c,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
13,294,-123,-105,#cd6f74,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
14,47,194,-186,#71ef58,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
15,-350,283,-188,#5442ed,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
16,-19,157,-158,#e4806f,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
17,-39,67,-239,#927822,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
18,-272,390,-380,#6fd480,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
19,-249,200,351,#37f884,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
20,38,-199,-339,#303dee,D:\Unreal Projects\MultiAgentSystem\SampleFiles\OBJ\Dog.obj
